psnr,ssim,subject
39.62438970235648,0.9864676517161609,Center001_UIH_30T_umr780_P014_T1map
40.965833280544985,0.9858058421632785,Center001_UIH_30T_umr780_P014_T1mappost
40.382310351586774,0.9888056741622323,Center001_UIH_30T_umr780_P014_cine_lax_3ch
39.842780988542664,0.9842644960694636,Center001_UIH_30T_umr780_P014_cine_lax_4ch
43.234924779593676,0.9957587730069711,Center001_UIH_30T_umr780_P014_cine_sax
37.897918231435455,0.9814618614074284,Center001_UIH_30T_umr780_P014_lge_lax_2ch
40.000653959140166,0.9818649619261747,Center001_UIH_30T_umr780_P014_lge_lax_4ch
45.657870156627894,0.9960690326641267,Center001_UIH_30T_umr780_P014_perfusion
42.80936887409638,0.9929205202419558,Center001_UIH_30T_umr780_P015_T1map
45.98205992679306,0.9968040725162447,Center001_UIH_30T_umr780_P015_cine_lax_3ch
41.78727902431288,0.9908232408410996,Center001_UIH_30T_umr780_P017_T1map
44.91819958691789,0.9943556059466271,Center001_UIH_30T_umr780_P017_T2map
45.36226028469857,0.9960584583770323,Center001_UIH_30T_umr780_P017_cine_lax_4ch
46.34577095755272,0.9971054580237411,Center001_UIH_30T_umr780_P017_cine_sax
42.10134195919322,0.9922244060950431,Center001_UIH_30T_umr780_P018_T1map
43.1159277428378,0.993899114479051,Center001_UIH_30T_umr780_P018_T1rho
40.97421670694897,0.9927762273739288,Center001_UIH_30T_umr780_P018_cine_lax_3ch
41.9526511902584,0.992507561786816,Center001_UIH_30T_umr780_P018_cine_lax_4ch
40.79137671828706,0.9932581331890687,Center001_UIH_30T_umr780_P018_cine_sax
50.475680549900375,0.9972855836884953,Center001_UIH_30T_umr780_P019_T1map
44.22635300932314,0.9927364783777718,Center001_UIH_30T_umr780_P019_T1rho
42.3817785940628,0.9936813509919994,Center001_UIH_30T_umr780_P019_T2map
46.91469766664578,0.9967072277225729,Center001_UIH_30T_umr780_P019_T2w
48.45640783476308,0.997568511875432,Center001_UIH_30T_umr780_P019_cine_lax_3ch
41.51716850262371,0.9927484459202995,Center001_UIH_30T_umr780_P019_cine_lax_4ch
46.396242611065084,0.9966166431375171,Center001_UIH_30T_umr780_P019_cine_sax
42.13919990351326,0.9944943743790465,Center001_UIH_30T_umr780_P020_T1map
43.93141623092123,0.9944425687094457,Center001_UIH_30T_umr780_P020_T1mappost
41.769977528340604,0.9951104318799184,Center001_UIH_30T_umr780_P020_T1rho
45.93239169342189,0.9978557626381331,Center001_UIH_30T_umr780_P020_T2map
41.92347603699002,0.9928191379819551,Center001_UIH_30T_umr780_P020_cine_lax_4ch
41.558044770476805,0.9931572513943637,Center001_UIH_30T_umr780_P020_cine_sax
40.79082715466335,0.9949523087889514,Center001_UIH_30T_umr780_P020_lge_lax_2ch
46.29683599780956,0.9975630185714135,Center001_UIH_30T_umr780_P020_perfusion
44.555438315030614,0.9955617995247057,Center001_UIH_30T_umr780_P021_T1rho
50.28952698869208,0.9981374023144408,Center001_UIH_30T_umr780_P021_T2map
43.23719435916605,0.9928131508516322,Center001_UIH_30T_umr780_P021_T2w
40.95244249818271,0.9920147840910364,Center001_UIH_30T_umr780_P021_cine_sax
44.86761744098443,0.9925646423989058,Center001_UIH_30T_umr780_P024_T1map
46.675824512864104,0.9939405789709155,Center001_UIH_30T_umr780_P024_T1rho
38.0841395715967,0.9856625816824297,Center001_UIH_30T_umr780_P024_T2w
47.236571404206764,0.9969691322599153,Center001_UIH_30T_umr780_P024_cine_lax_3ch
44.38881912571467,0.9916594870521371,Center001_UIH_30T_umr780_P024_cine_sax
40.46100745784177,0.9899993279496492,Center001_UIH_30T_umr780_P026_T1rho
38.03603160507849,0.9918524466529322,Center001_UIH_30T_umr780_P026_T2w
41.59445365292218,0.9910695581211573,Center001_UIH_30T_umr780_P026_cine_lax_3ch
,,Center001_UIH_30T_umr780_P026_cine_lax_4ch
47.56756388569236,0.9959332745747912,Center001_UIH_30T_umr780_P027_T1map
46.23244973543321,0.9957539268087306,Center001_UIH_30T_umr780_P027_T1rho
40.55493252354337,0.9935223358797725,Center001_UIH_30T_umr780_P027_T2w
40.79524015724804,0.9908179537683269,Center001_UIH_30T_umr780_P027_cine_lax_3ch
39.274177772752516,0.9868903052776395,Center001_UIH_30T_umr780_P027_cine_lax_4ch
46.58894750804408,0.9969516608245333,Center001_UIH_30T_umr780_P027_cine_sax
43.78486095050131,0.9936549404707808,Center001_UIH_30T_umr780_P028_T1map
41.77764087006026,0.9919126111565318,Center001_UIH_30T_umr780_P028_cine_lax_3ch
43.999792095371625,0.9934756231848016,Center001_UIH_30T_umr780_P028_cine_sax
45.085689140953896,0.9941192501395348,Center001_UIH_30T_umr780_P029_cine_lax_3ch
47.10665426095307,0.9970859016150083,Center001_UIH_30T_umr780_P031_T2map
39.64383900912652,0.9862084413961489,Center001_UIH_30T_umr780_P031_lge_lax_2ch
44.76165850382782,0.9956679346063604,Center001_UIH_30T_umr780_P032_cine_sax
35.69767447787847,0.971712823237227,Center001_UIH_30T_umr780_P033_perfusion
44.26534614214567,0.9936559016681036,Center001_UIH_30T_umr780_P034_T1mappost
39.31628648238742,0.9924935569274767,Center001_UIH_30T_umr780_P034_T2map
36.753275071205906,0.9857233149709713,Center001_UIH_30T_umr780_P034_T2w
41.6102541508394,0.9911337521545615,Center001_UIH_30T_umr780_P035_cine_lax_3ch
44.76520067782298,0.9955617084862296,Center001_UIH_30T_umr780_P035_cine_lax_4ch
40.27447169213137,0.9898796116791266,Center001_UIH_30T_umr780_P035_perfusion
39.51677619931093,0.9850099351196325,Center001_UIH_30T_umr780_P036_T1mappost
44.511065173008575,0.9954691971866606,Center001_UIH_30T_umr780_P036_cine_sax
